match_id,set,rally_number,scoring_team,conceding_team,score_type,player_score
2024_VNL_BUL_vs_FRA,1,1,France,Bulgaria,serve_ace,Clevenot
2024_VNL_BUL_vs_FRA,1,2,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,3,France,Bulgaria,attack_back_right,Patry
2024_VNL_BUL_vs_FRA,1,4,Bulgaria,France,attack_front_right,Dimitrov
2024_VNL_BUL_vs_FRA,1,5,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,6,Bulgaria,France,attack_front_middle,Petkov
2024_VNL_BUL_vs_FRA,1,7,France,Bulgaria,attack_front_middle,Chinenyeze
2024_VNL_BUL_vs_FRA,1,8,France,Bulgaria,concede_front_left_error,NA
2024_VNL_BUL_vs_FRA,1,9,Bulgaria,France,concede_net_touch_error,NA
2024_VNL_BUL_vs_FRA,1,10,Bulgaria,France,attack_front_middle,Grozdanov
2024_VNL_BUL_vs_FRA,1,11,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,12,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,13,Bulgaria,France,serve_ace,Nikolov
2024_VNL_BUL_vs_FRA,1,14,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,15,France,Bulgaria,block_middle,Le Goff
2024_VNL_BUL_vs_FRA,1,16,Bulgaria,France,attack_front_left,Karyagin
2024_VNL_BUL_vs_FRA,1,17,France,Bulgaria,attack_front_middle,Le Goff
2024_VNL_BUL_vs_FRA,1,18,Bulgaria,France,attack_front_middle,Grozdanov
2024_VNL_BUL_vs_FRA,1,19,France,Bulgaria,attack_front_middle,Le Goff
2024_VNL_BUL_vs_FRA,1,20,Bulgaria,France,concede_back_middle_error,NA
2024_VNL_BUL_vs_FRA,1,21,France,Bulgaria,attack_front_middle,Chinenyeze
2024_VNL_BUL_vs_FRA,1,22,France,Bulgaria,attack_front_left,Ngapeth
2024_VNL_BUL_vs_FRA,1,23,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,24,France,Bulgaria,attack_front_middle,Chinenyeze
2024_VNL_BUL_vs_FRA,1,25,Bulgaria,France,attack_front_middle,Nikolov
2024_VNL_BUL_vs_FRA,1,26,Bulgaria,France,concede_back_middle_error,NA
2024_VNL_BUL_vs_FRA,1,27,France,Bulgaria,attack_front_left,Clevenot
2024_VNL_BUL_vs_FRA,1,28,Bulgaria,France,concede_net_touch_error,NA
2024_VNL_BUL_vs_FRA,1,29,France,Bulgaria,attack_front_right,Patry
2024_VNL_BUL_vs_FRA,1,30,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,31,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,32,Bulgaria,France,attack_front_right,Dimitrov
2024_VNL_BUL_vs_FRA,1,33,France,Bulgaria,attack_back_right,Patry
2024_VNL_BUL_vs_FRA,1,34,Bulgaria,France,attack_front_left,Tatarov
2024_VNL_BUL_vs_FRA,1,35,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,1,36,France,Bulgaria,block_middle,Patry
2024_VNL_BUL_vs_FRA,1,37,Bulgaria,France,attack_front_left,Tatarov
2024_VNL_BUL_vs_FRA,1,38,France,Bulgaria,attack_front_left,Patry
2024_VNL_BUL_vs_FRA,1,39,France,Bulgaria,concede_net_touch_error,NA
2024_VNL_BUL_vs_FRA,1,40,Bulgaria,France,attack_front_left,Garkov
2024_VNL_BUL_vs_FRA,1,41,France,Bulgaria,attack_front_right,Patry
2024_VNL_BUL_vs_FRA,1,42,Bulgaria,France,attack_back_right,Dimitrov
2024_VNL_BUL_vs_FRA,1,43,France,Bulgaria,attack_front_middle,Le Goff
2024_VNL_BUL_vs_FRA,1,44,France,Bulgaria,block_right,Faure
2024_VNL_BUL_vs_FRA,1,45,Bulgaria,France,attack_front_middle,Grozdanov
2024_VNL_BUL_vs_FRA,1,46,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,1,Bulgaria,France,block_right,Grozdanov
2024_VNL_BUL_vs_FRA,2,2,France,Bulgaria,concede_net_touch_error,NA
2024_VNL_BUL_vs_FRA,2,3,Bulgaria,France,attack_front_left,Tatarov
2024_VNL_BUL_vs_FRA,2,4,France,Bulgaria,attack_front_middle,Chinenyeze
2024_VNL_BUL_vs_FRA,2,5,France,Bulgaria,attack_front_right,Patry
2024_VNL_BUL_vs_FRA,2,6,France,Bulgaria,block_right,Patry
2024_VNL_BUL_vs_FRA,2,7,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,8,France,Bulgaria,attack_front_left,Clevenot
2024_VNL_BUL_vs_FRA,2,9,France,Bulgaria,serve_ace,Chinenyeze
2024_VNL_BUL_vs_FRA,2,10,France,Bulgaria,attack_front_right,Patry
2024_VNL_BUL_vs_FRA,2,11,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,12,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,13,France,Bulgaria,attack_back_middle,Ngapeth
2024_VNL_BUL_vs_FRA,2,14,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,15,Bulgaria,France,concede_front_right_error,NA
2024_VNL_BUL_vs_FRA,2,16,Bulgaria,France,serve_ace,Petkov
2024_VNL_BUL_vs_FRA,2,17,Bulgaria,France,concede_front_middle_error,NA
2024_VNL_BUL_vs_FRA,2,18,France,Bulgaria,concede_back_right_error,NA
2024_VNL_BUL_vs_FRA,2,19,Bulgaria,France,attack_front_middle,Grozdanov
2024_VNL_BUL_vs_FRA,2,20,France,Bulgaria,attack_back_right,Patry
2024_VNL_BUL_vs_FRA,2,21,Bulgaria,France,attack_front_left,Karyagin
2024_VNL_BUL_vs_FRA,2,22,France,Bulgaria,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,23,Bulgaria,France,concede_serve_error,NA
2024_VNL_BUL_vs_FRA,2,24,France,Bulgaria,concede_front_right_error,NA
2024_VNL_BUL_vs_FRA,2,25,France,Bulgaria,concede_front_right_error,NA
