match_id,set,rally_number,scoring_team,conceding_team,score_type,player_score
2024_VNL_TUR_vs_FRA,1,1,Turkey,France,attack_front_left,Lagumdzija
2024_VNL_TUR_vs_FRA,1,2,Turkey,France,serve_ace,Subasi
2024_VNL_TUR_vs_FRA,1,3,France,Turkey,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,4,France,Turkey,serve_ace,Brizard
2024_VNL_TUR_vs_FRA,1,5,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,6,Turkey,France,attack_front_middle,Bedirhan
2024_VNL_TUR_vs_FRA,1,7,France,Turkey,attack_front_middle,Seddik
2024_VNL_TUR_vs_FRA,1,8,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,9,France,Turkey,attack_front_left,Clevenot
2024_VNL_TUR_vs_FRA,1,10,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,11,France,Turkey,attack_front_left,Clevenot
2024_VNL_TUR_vs_FRA,1,12,Turkey,France,attack_front_middle,Bedirhan
2024_VNL_TUR_vs_FRA,1,13,Turkey,France,serve_ace,Bedirhan
2024_VNL_TUR_vs_FRA,1,14,France,Turkey,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,15,Turkey,France,attack_front_middle,Gunes
2024_VNL_TUR_vs_FRA,1,16,France,Turkey,attack_back_right,Patry
2024_VNL_TUR_vs_FRA,1,17,Turkey,France,attack_front_left,Lagumdzija
2024_VNL_TUR_vs_FRA,1,18,France,Turkey,attack_back_middle,Clevenot
2024_VNL_TUR_vs_FRA,1,19,Turkey,France,concede_front_left_error,NA
2024_VNL_TUR_vs_FRA,1,20,Turkey,France,serve_ace,Gunes
2024_VNL_TUR_vs_FRA,1,21,France,Turkey,attack_front_right,Louati
2024_VNL_TUR_vs_FRA,1,22,France,Turkey,block_left,Seddik
2024_VNL_TUR_vs_FRA,1,23,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,24,Turkey,France,attack_front_middle,Bedirhan
2024_VNL_TUR_vs_FRA,1,25,Turkey,France,serve_ace,Lagumdzija
2024_VNL_TUR_vs_FRA,1,26,France,Turkey,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,27,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,28,France,Turkey,attack_front_middle,Le Goff
2024_VNL_TUR_vs_FRA,1,29,Turkey,France,attack_front_middle,Yenipazar
2024_VNL_TUR_vs_FRA,1,30,France,Turkey,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,31,Turkey,France,attack_front_left,Subasi
2024_VNL_TUR_vs_FRA,1,32,France,Turkey,attack_front_right,Faure
2024_VNL_TUR_vs_FRA,1,33,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,34,France,Turkey,concede_net_touch_error,NA
2024_VNL_TUR_vs_FRA,1,35,France,Turkey,concede_front_left_error,NA
2024_VNL_TUR_vs_FRA,1,36,Turkey,France,attack_front_right,Lagumdzija
2024_VNL_TUR_vs_FRA,1,37,France,Turkey,attack_front_left,Patry
2024_VNL_TUR_vs_FRA,1,38,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,39,France,Turkey,attack_front_right,Patry
2024_VNL_TUR_vs_FRA,1,40,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,41,France,Turkey,block_left,Le Goff
2024_VNL_TUR_vs_FRA,1,42,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,43,France,Turkey,attack_back_middle,Louati
2024_VNL_TUR_vs_FRA,1,44,France,Turkey,concede_front_left_error,NA
2024_VNL_TUR_vs_FRA,1,45,France,Turkey,block_right,Le Goff
2024_VNL_TUR_vs_FRA,1,46,France,Turkey,attack_back_right,Patry
2024_VNL_TUR_vs_FRA,1,47,France,Turkey,attack_back_right,Patry
2024_VNL_TUR_vs_FRA,1,48,Turkey,France,attack_front_left,Subasi
2024_VNL_TUR_vs_FRA,1,49,France,Turkey,attack_back_right,Patry
2024_VNL_TUR_vs_FRA,1,50,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,1,51,Turkey,France,attack_front_left,Lagumdzija
2024_VNL_TUR_vs_FRA,1,52,Turkey,France,block_middle,Gunes
2024_VNL_TUR_vs_FRA,2,1,Turkey,France,attack_front_right,Lagumdzija
2024_VNL_TUR_vs_FRA,2,2,France,Turkey,attack_front_right,Louati
2024_VNL_TUR_vs_FRA,2,3,Turkey,France,attack_front_middle,Bedirhan
2024_VNL_TUR_vs_FRA,2,4,Turkey,France,attack_front_left,Lagumdzija
2024_VNL_TUR_vs_FRA,2,5,Turkey,France,block_right,Bedirhan
2024_VNL_TUR_vs_FRA,2,6,France,Turkey,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,2,7,Turkey,France,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,2,8,France,Turkey,concede_serve_error,NA
2024_VNL_TUR_vs_FRA,2,9,France,Turkey,block_right,Brizard
2024_VNL_TUR_vs_FRA,2,10,France,Turkey,concede_back_right_error,NA
2024_VNL_TUR_vs_FRA,2,11,France,Turkey,serve_ace,Patry
2024_VNL_TUR_vs_FRA,2,12,Turkey,France,attack_front_left,Subasi
2024_VNL_TUR_vs_FRA,2,13,France,Turkey,attack_back_middle,Louati
2024_VNL_TUR_vs_FRA,2,14,France,Turkey,attack_front_left,Louati
2024_VNL_TUR_vs_FRA,2,15,Turkey,France,attack_back_right,Lagumdzija
2024_VNL_TUR_vs_FRA,2,16,France,Turkey,attack_front_middle,Le Goff
2024_VNL_TUR_vs_FRA,2,17,Turkey,France,attack_front_middle,Gunes
