match_id,set,rally_number,scoring_team,conceding_team,score_type,player_score
2024_VNL_FRA_vs_ITA,1,1,Italy,France,attack_zone4,Lavia
2024_VNL_FRA_vs_ITA,1,2,Italy,France,attack_zone3,Russo
2024_VNL_FRA_vs_ITA,1,3,Italy,France,error_net_touch,NA
2024_VNL_FRA_vs_ITA,1,4,France,Italy,serve_error,NA
2024_VNL_FRA_vs_ITA,1,5,Italy,France,attack_zone6,Michieletto
2024_VNL_FRA_vs_ITA,1,6,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,7,Italy,France,block_zone2,Galassi
2024_VNL_FRA_vs_ITA,1,8,France,Italy,attack_zone6,Clevenot
2024_VNL_FRA_vs_ITA,1,9,Italy,France,attack_zone2,Galassi
2024_VNL_FRA_vs_ITA,1,10,Italy,France,attack_zone3,Galassi
2024_VNL_FRA_vs_ITA,1,11,France,Italy,serve_error,NA
2024_VNL_FRA_vs_ITA,1,12,Italy,France,attack_zone1,Romano
2024_VNL_FRA_vs_ITA,1,13,France,Italy,attack_zone4,Patry
2024_VNL_FRA_vs_ITA,1,14,Italy,France,attack_zone3,Russo
2024_VNL_FRA_vs_ITA,1,15,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,16,France,Italy,error_zone4,NA
2024_VNL_FRA_vs_ITA,1,17,France,Italy,serve_ace,Seddik
2024_VNL_FRA_vs_ITA,1,18,France,Italy,serve_ace,Seddik
2024_VNL_FRA_vs_ITA,1,19,Italy,France,serve_error,NA
2024_VNL_FRA_vs_ITA,1,20,Italy,France,error_zone4,NA
2024_VNL_FRA_vs_ITA,1,21,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,22,Italy,France,attack_zone3,Russo
2024_VNL_FRA_vs_ITA,1,23,France,Italy,serve_error,NA
2024_VNL_FRA_vs_ITA,1,24,Italy,Fran`,serve_error,NA
2024_VNL_FRA_vs_ITA,1,25,France,Italy,attack_zone1,Patry
2024_VNL_FRA_vs_ITA,1,26,Italy,France,attack_zone4,Lavia
2024_VNL_FRA_vs_ITA,1,27,France,Italy,serve_error,NA
2024_VNL_FRA_vs_ITA,1,28,Italy,France,attack_zone4,Michieletto
2024_VNL_FRA_vs_ITA,1,29,France,Italy,attack_zone2,Louati
2024_VNL_FRA_vs_ITA,1,30,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,31,France,Italy,attack_zone3,Clevenot
2024_VNL_FRA_vs_ITA,1,32,Italy,France,attack_zone4,Michieletto
2024_VNL_FRA_vs_ITA,1,33,Italy,France,attack_zone4,Michieletto
2024_VNL_FRA_vs_ITA,1,34,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,35,Italy,France,attack_zone3,Russo
2024_VNL_FRA_vs_ITA,1,36,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,37,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,38,Italy,France,serve_error,NA
2024_VNL_FRA_vs_ITA,1,39,France,Italy,attack_zone2,Clevenot
2024_VNL_FRA_vs_ITA,1,40,Italy,France,attack_zone2,Romano
2024_VNL_FRA_vs_ITA,1,41,France,Italy,serve_error,NA
2024_VNL_FRA_vs_ITA,1,42,Italy,France`,attack_zone1,Romano
2024_VNL_FRA_vs_ITA,1,43,France,Italy,attack_zone2,Faure
2024_VNL_FRA_vs_ITA,1,44,Italy,France,serve_error,NA
2024_VNL_FRA_vs_ITA,1,45,France,Italy,serve_error,NA
2024_VNL_FRA_vs_ITA,1,46,France,Italy,attack_zone4,Clevenot
2024_VNL_FRA_vs_ITA,1,47,Italy,France,serve_error,NA
2024_VNL_FRA_vs_ITA,1,48,France,Italy,attack_zone6,Louati
2024_VNL_FRA_vs_ITA,2,1,Italy,France,attack_zone4,Lavia
2024_VNL_FRA_vs_ITA,2,2,Italy,France,attack_zone1,Lavia
2024_VNL_FRA_vs_ITA,2,3,France,Italy,attack_zone3,Seddik
2024_VNL_FRA_vs_ITA,2,4,Italy,France,attack_zone4,Lavia
2024_VNL_FRA_vs_ITA,2,5,Italy,France,serve_ace,Lavia
2024_VNL_FRA_vs_ITA,2,6,Italy,France,block_zone2,Giannelli
