match_id,set,rally_number,scoring_team,conceding_team,score_type,player_score
2024_VNL_FRA_vs_NED,1,1,France,Netherlands,attack_zone4,Louati
2024_VNL_FRA_vs_NED,1,2,France,Netherlands,error_zone2,NA
2024_VNL_FRA_vs_NED,1,3,France,Netherlands,attack_zone2,Patry
2024_VNL_FRA_vs_NED,1,4,France,Netherlands,block_zone4,Louati
2024_VNL_FRA_vs_NED,1,5,Netherlands,France,attack_zone2,Nimir
2024_VNL_FRA_vs_NED,1,6,France,Netherlands,attack_zone3,Seddik
2024_VNL_FRA_vs_NED,1,7,Netherlands,France,attack_zone3,Parkinson
2024_VNL_FRA_vs_NED,1,8,Netherlands,France,attack_zone6,Van Garderen
2024_VNL_FRA_vs_NED,1,9,France,Netherlands,attack_zone2,Patry
2024_VNL_FRA_vs_NED,1,10,Netherlands,France,attack_zone3,Parkinson
2024_VNL_FRA_vs_NED,1,11,France,Netherlands,attack_zone2,Patry
2024_VNL_FRA_vs_NED,1,12,Netherlands,France,serve_error,NA
2024_VNL_FRA_vs_NED,1,13,France,Netherlands,attack_zone1,Patry
2024_VNL_FRA_vs_NED,1,14,Netherlands,France,attack_zone4,Van Garderen
2024_VNL_FRA_vs_NED,1,15,France,Netherlands,serve_error,NA
2024_VNL_FRA_vs_NED,1,16,Netherlands,France,attack_zone2,Nimir
2024_VNL_FRA_vs_NED,1,17,France,Netherlands,attack_zone1,Patry
2024_VNL_FRA_vs_NED,1,18,France,Netherlands,attack_zone3,Seddik
2024_VNL_FRA_vs_NED,1,19,Netherlands,France,attack_zone4,Koops
2024_VNL_FRA_vs_NED,1,20,Netherlands,France,serve_ace,Plak
2024_VNL_FRA_vs_NED,1,21,France,Netherlands,attack_zone2,Louati
2024_VNL_FRA_vs_NED,1,22,France,Netherlands,block_zone3,Seddik
2024_VNL_FRA_vs_NED,1,23,Netherlands,France,attack_zone3,Parkinson
2024_VNL_FRA_vs_NED,1,24,France,Netherlands,serve_error,NA
2024_VNL_FRA_vs_NED,1,25,Netherlands,France,attack_zone6,Van Garderen
2024_VNL_FRA_vs_NED,1,26,France,Netherlands,block_zone4,Clevenot
2024_VNL_FRA_vs_NED,1,27,France,Netherlands,serve_ace,Patry
2024_VNL_FRA_vs_NED,1,28,Netherlands,France,attack_zone4,Van Garderen
2024_VNL_FRA_vs_NED,1,29,Netherlands,France,error_zone6,NA
2024_VNL_FRA_vs_NED,1,30,France,Netherlands,error_zone1,NA
2024_VNL_FRA_vs_NED,1,31,Netherlands,France,error_zone1,NA
