match_id,set,rally_number,scoring_team,conceding_team,score_type,player_score
2024_VNL_SLO_vs_FRA,1,1,France,Slovenia,attack_zone4,Clevenot
2024_VNL_SLO_vs_FRA,1,2,Slovenia,France,attack_zone6,Cebulj
2024_VNL_SLO_vs_FRA,1,3,Slovenia,France,attack_zone3,Kozamernik
2024_VNL_SLO_vs_FRA,1,4,Slovenia,France,error_zone4,NA
2024_VNL_SLO_vs_FRA,1,5,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,6,France,Slovenia,serve_ace,Chinenyeze
2024_VNL_SLO_vs_FRA,1,7,France,Slovenia,error_zone2,NA
2024_VNL_SLO_vs_FRA,1,8,Slovenia,France,serve_error,NA
2024_VNL_SLO_vs_FRA,1,9,Slovenia,France,error_receive,NA
2024_VNL_SLO_vs_FRA,1,10,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,11,Slovenia,France,attack_zone2,Stern
2024_VNL_SLO_vs_FRA,1,12,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,13,Slovenia,France,error_zone4,NA
2024_VNL_SLO_vs_FRA,1,14,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,15,Slovenia,France,error_net_touch,NA
2024_VNL_SLO_vs_FRA,1,16,France,Slovenia,attack_zone2,Patry
2024_VNL_SLO_vs_FRA,1,17,Slovenia,France,block_zone2,Pajenk
2024_VNL_SLO_vs_FRA,1,18,Slovenia,France,block_zone3,Kozamernik
2024_VNL_SLO_vs_FRA,1,19,Slovenia,France,attack_zone5,Bracko
2024_VNL_SLO_vs_FRA,1,20,France,Slovenia,attack_zone3,Chinenyeze
2024_VNL_SLO_vs_FRA,1,21,Slovenia,France,attack_zone3,Kozamernik
2024_VNL_SLO_vs_FRA,1,22,Slovenia,France,error_zone2,NA
2024_VNL_SLO_vs_FRA,1,23,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,24,Slovenia,France,attack_zone1,Stern
2024_VNL_SLO_vs_FRA,1,25,Slovenia,France,serve_ace,Bracko
2024_VNL_SLO_vs_FRA,1,26,Slovenia,France,error_zone2,NA
2024_VNL_SLO_vs_FRA,1,27,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,28,Slovenia,France,serve_error,NA
2024_VNL_SLO_vs_FRA,1,29,Slovenia,France,block_zone3,Kozamernik
2024_VNL_SLO_vs_FRA,1,30,France,Slovenia,attack_zone2,Clevenot
2024_VNL_SLO_vs_FRA,1,31,France,Slovenia,serve_ace,Clevenot
2024_VNL_SLO_vs_FRA,1,32,Slovenia,France,attack_zone3,Pajenk
2024_VNL_SLO_vs_FRA,1,33,France,Slovenia,attack_zone2,Faure
2024_VNL_SLO_vs_FRA,1,34,France,Slovenia,attack_zone4,Ngapeth
2024_VNL_SLO_vs_FRA,1,35,Slovenia,France,attack_zone3,Pajenk
2024_VNL_SLO_vs_FRA,1,36,France,Slovenia,attack_zone4,Ngapeth
2024_VNL_SLO_vs_FRA,1,37,Slovenia,France,attack_zone2,Stern
2024_VNL_SLO_vs_FRA,1,38,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,39,Slovenia,France,serve_error,NA
2024_VNL_SLO_vs_FRA,1,40,France,Slovenia,serve_error,NA
2024_VNL_SLO_vs_FRA,1,41,Slovenia,France,serve_error,NA
2024_VNL_SLO_vs_FRA,1,42,Slovenia,France,attack_zone4,Cebulj
2024_VNL_SLO_vs_FRA,1,43,Slovenia,France,error_zone4,NA
2024_VNL_SLO_vs_FRA,2,1,France,Slovenia,attack_zone1,Patry
2024_VNL_SLO_vs_FRA,2,2,Slovenia,France,attack_zone3,Pajenk
2024_VNL_SLO_vs_FRA,2,3,Slovenia,France,attack_zone2,Stern
2024_VNL_SLO_vs_FRA,2,4,Slovenia,France,attack_zone4,Cebulj
2024_VNL_SLO_vs_FRA,2,5,Slovenia,France,error_zone3,NA
2024_VNL_SLO_vs_FRA,2,6,France,Slovenia,attack_zone2,Ngapeth
